alt_km,lat_deg,lon_deg,lt_h,doy,f107,f107m,kp3h,kp24h,temperature_k,exospheric_temp_k,density_g_cm3,mean_mol_mass_g,d_h_g_cm3,d_he_g_cm3,d_o_g_cm3,d_n2_g_cm3,d_o2_g_cm3,d_n_g_cm3
180.57999999999998,-67.140000000000001,-268.01999999999998,6.6600000000000001,37,84.939999999999998,80.980000000000004,0.90000000000000002,0.71999999999999997,999.9969482421875,1000,2.1097722093660343e-12,5.5879721641540527,2.0386886352263128e-13,3.2387176165764309e-13,1.2567158685222735e-12,1.3495449332698306e-13,1.056759253671366e-13,8.4685344403211821e-14
183.88999999999999,-65.870000000000005,-262.90999999999997,7.0300000000000002,39,85.769999999999996,81.590000000000003,0.95000000000000007,0.76000000000000001,999.9984130859375,1000,1.9931213797452774e-12,5.3923640251159668,2.0311783667775057e-13,3.1912661532448872e-13,1.1846715015223497e-12,1.1187657923553487e-13,9.3907080191395903e-14,8.0421814227602667e-14
187.19999999999999,-64.599999999999994,-257.80000000000001,7.4000000000000004,41,86.599999999999994,82.200000000000003,1,0.80000000000000004,999.9991455078125,1000,1.8857430807844855e-12,5.2071146965026855,2.0237044191014769e-13,3.1445584526036685e-13,1.116824840073638e-12,9.2255948702917728e-14,8.3458935563277686e-14,7.6376987958974574e-14
190.50999999999999,-63.329999999999998,-252.69,7.7699999999999996,43,87.430000000000007,82.810000000000002,1.05,0.83999999999999997,999.99957275390625,1000,1.7868987539637615e-12,5.0319943428039551,2.0162662500971401e-13,3.0985817752772482e-13,1.0529268429371186e-12,7.5765572472592108e-14,7.4182142633522075e-14,7.2539420488144241e-14
193.81999999999999,-62.060000000000002,-247.57999999999998,8.1400000000000006,45,88.259999999999991,83.420000000000002,1.1000000000000001,0.88,999.999755859375,1000,1.6958542859921155e-12,4.8666186332702637,2.0088625045117797e-13,3.0533222976879271e-13,9.9274386454462071e-13,6.2049303683423679e-14,6.5944327093132166e-14,6.8898249464596079e-14
197.13,-60.789999999999999,-242.47,8.5099999999999998,47,89.090000000000003,84.030000000000001,1.1500000000000001,0.92000000000000004,999.9998779296875,1000,1.6118995244465695e-12,4.7104878425598145,2.0014938599717536e-13,3.0087691778139802e-13,9.3605646237643336e-13,5.074506624364733e-14,5.8628307016053011e-14,6.5443269835381568e-14
200.44,-59.519999999999996,-237.35999999999999,8.879999999999999,49,89.920000000000002,84.640000000000001,1.2000000000000002,0.95999999999999996,999.99993896484375,1000,1.5343637818632239e-12,4.5630407333374023,1.9941596388507038e-13,2.9649102183809672e-13,8.826591259107619e-13,4.1502734002317812e-14,5.2130165012183663e-14,6.2164791543584119e-14
203.75,-58.25,-232.25,9.25,51,90.75,85.25,1.25,1,999.99993896484375,1000,1.462624292514203e-12,4.4236822128295898,1.9868598411486305e-13,2.921734035266077e-13,8.3235664454645031e-13,3.3996981933185483e-14,4.6357713403676754e-14,5.9053605647001184e-14
207.06,-56.979999999999997,-227.13999999999999,9.6199999999999992,53,91.579999999999998,85.859999999999999,1.3,1.04,1000,1000,1.396115319705904e-12,4.2918276786804199,1.9795936537139042e-13,2.8792289732959553e-13,7.8496752283982452e-13,2.7935161847039876e-14,4.1229352424525592e-14,5.6101038528252878e-14
210.37,-55.710000000000001,-222.03,9.9900000000000002,55,92.409999999999997,86.469999999999999,1.3500000000000001,1.0800000000000001,1000,1000,1.3343275052576931e-12,4.1669125556945801,1.9723616186476112e-13,2.8373847325499635e-13,7.4032029421730594e-13,2.306092769272395e-14,3.6672667534003514e-14,5.3298850250828311e-14
213.68000000000001,-54.439999999999998,-216.91999999999999,10.359999999999999,57,93.239999999999995,87.079999999999998,1.4000000000000001,1.1200000000000001,1000,1000,1.2768063516188644e-12,4.0484085083007812,1.9651634648992083e-13,2.7961893868042043e-13,6.9825362939562874e-13,1.9154728530309389e-14,3.2623426529654331e-14,5.0639237947217378e-14
216.99000000000001,-53.170000000000002,-211.81,10.73,59,94.069999999999993,87.689999999999998,1.4500000000000002,1.1599999999999999,1000,1000,1.2231507039855982e-12,3.9358384609222412,1.9579983793170663e-13,2.7556329071885821e-13,6.5861590270097081e-13,1.6032061949159369e-14,2.902469185676361e-14,4.8114815490120019e-14
220.30000000000001,-51.899999999999999,-206.69999999999999,11.1,61,94.900000000000006,88.299999999999997,1.5,1.2,1000,1000,1.1730071124496644e-12,3.8287694454193115,1.9508669040022714e-13,2.7157044516813722e-13,6.2126492101841069e-13,1.3540347669320236e-14,2.5825978657609099e-14,4.5718589775523705e-14
223.61000000000001,-50.630000000000003,-201.59,11.470000000000001,63,95.730000000000004,88.909999999999997,1.55,1.24,1000,1000,1.1260643025673422e-12,3.7268164157867432,1.9437684968537372e-13,2.6763937203619359e-13,5.8606662274932053e-13,1.15550430484254e-14,2.2982490747742307e-14,4.3443940393912694e-14
226.92000000000002,-49.359999999999999,-196.47999999999999,11.84,65,96.560000000000002,89.519999999999996,1.6000000000000001,1.28,1000,1000,1.0820490553911655e-12,3.6296398639678955,1.9367028868209207e-13,2.637691226461264e-13,5.5289502360125753e-13,9.9756882848646075e-15,2.0454481953146274e-14,4.1284585748950151e-14
230.23000000000002,-48.089999999999996,-191.36999999999998,12.209999999999999,67,97.390000000000001,90.129999999999995,1.6500000000000001,1.3200000000000001,1000,1000,1.0407202443579733e-12,3.5369377136230469,1.9296699383785504e-13,2.5995863990081747e-13,5.2163140343633452e-13,8.7219956666664648e-15,1.8206678433765541e-14,3.923457289308277e-14
233.54000000000002,-46.82,-186.25999999999999,12.58,69,98.219999999999999,90.739999999999995,1.7000000000000002,1.3600000000000001,1000,1000,1.001864715320655e-12,3.4484422206878662,1.9226697870518977e-13,2.5620692091325725e-13,4.9216446890154586e-13,7.7303699601511192e-15,1.6207785710330852e-14,3.728825381061826e-14
236.85000000000002,-45.549999999999997,-181.14999999999998,12.949999999999999,71,99.049999999999997,91.349999999999994,1.75,1.4000000000000001,1000,1000,9.6529349184054647e-13,3.3639187812805176,1.9157020262651481e-13,2.5251301700654483e-13,4.6438910659626909e-13,6.950808692859781e-15,1.4430027878435843e-14,3.5440298970252498e-14
240.16,-44.280000000000001,-176.03999999999999,13.32,73,99.879999999999995,91.960000000000008,1.8,1.4399999999999999,1000,1000,9.3083819732026063e-13,3.2831554412841797,1.9087663849677583e-13,2.4887600660883358e-13,4.3820678964807958e-13,6.3443212441644404e-15,1.2848764749644886e-14,3.3685643114960903e-14
